activity_id,date,name,type,distance_km,duration_min,moving_min,avg_pace_s_per_km,avg_hr,max_hr,avg_cadence,avg_power,avg_stride_m,avg_gct_ms,avg_vertical_osc_mm,elevation_gain_m,elevation_loss_m,calories,aerobic_te,anaerobic_te,vo2max
22027909939,2026-03-01T18:03:17,Running,running,0.0,0.38,0.38,,54.0,58.0,,,,,,,,,,,
22084729629,2026-03-06T19:29:57,Amsterdam Running,running,10.1,64.7,64.02,380.3,173.0,196.0,165.0625,221.0,93.82999877929689,257.1000061035156,8.480000305175782,9.939999997615814,7.819999992847443,803.0,5.0,3.5999999046325684,57.0
22183631524,2026-03-15T15:46:38,The Hague Running,running,10.206,61.41,60.76,357.2,130.0,150.0,170.578125,241.0,97.15,252.39999389648438,8.580000305175782,52.349999994039536,48.70999997854233,573.0,3.0,,57.0
22907411502,2026-05-16T11:24:23,Amsterdam Running,running,5.325,34.62,34.38,387.4,139.0,191.0,163.765625,228.0,93.94000244140625,266.1000061035156,8.80999984741211,1.0299999993294477,3.4099999964237213,346.0,3.200000047683716,0.800000011920929,
23168969027,2026-06-07T20:56:30,Amsterdam Running,running,4.976,28.16,27.88,336.2,179.0,200.0,165.765625,246.0,104.5300048828125,255.1999969482422,9.26999969482422,13.540000021457672,7.259999990463257,341.0,3.700000047683716,1.100000023841858,56.0
23238466957,2026-06-13T20:35:58,Amsterdam - W1 Sat Easy Run - 4.5km Easy Run,running,4.522,30.66,30.55,405.4,150.0,172.0,179.84375,206.0,80.80999755859375,251.60000610351562,7.30999984741211,11.07999999821186,9.77999997138977,303.0,2.700000047683716,0.5,56.0
23273492955,2026-06-16T19:55:42,Amsterdam Running,running,3.007,22.29,22.15,441.9,162.0,184.0,172.3125,192.0,77.24000244140626,266.20001220703125,7.6099998474121096,6.090000003576279,5.990000009536743,242.0,2.9000000953674316,0.699999988079071,
23309119675,2026-06-19T19:47:48,Amsterdam Running,running,4.517,32.45,32.13,426.9,161.0,186.0,169.890625,198.0,80.77000122070314,263.29998779296875,7.690000152587891,19.959999978542328,18.689999997615814,322.0,2.799999952316284,0.699999988079071,55.0
23411508056,2026-06-28T21:16:21,Amsterdam Running,running,6.008,41.81,41.55,415.0,152.0,175.0,172.90625,202.0,81.55000000000001,254.10000610351562,7.409999847412109,15.959999978542328,9.819999992847443,383.0,2.799999952316284,,55.0
23485858344,2026-07-05T10:28:16,Amsterdam Running,running,7.009,48.16,48.0,410.9,158.0,175.0,166.203125,199.0,83.67999877929688,263.79998779296875,7.590000152587891,13.200000002980232,12.389999985694885,458.0,3.0999999046325684,0.20000000298023224,55.0
23526159755,2026-07-08T18:57:45,Amsterdam Running,running,4.005,31.39,31.12,466.3,141.0,170.0,163.953125,174.0,76.04000244140626,264.5,7.2,12.180000007152557,8.280000001192093,252.0,2.200000047683716,,
23562312364,2026-07-11T19:14:06,Amsterdam Running,running,5.005,38.45,38.29,459.1,148.0,163.0,167.296875,184.0,78.79000244140626,267.8999938964844,7.409999847412109,12.5,11.850000023841858,305.0,2.200000047683716,,54.0
23586018815,2026-07-13T20:20:25,Amsterdam Running,running,8.008,59.56,59.2,443.5,157.0,173.0,166.640625,190.0,80.75999755859375,264.5,7.569999694824219,12.180000007152557,13.319999992847443,515.0,2.9000000953674316,,54.0
